symbol
ETSY
PINS
SE
SHOP
SQ
MELI
ISRG
DIS
BRK.A
AMZN
VOO
VEA
VGT
VIG
MBB
QQQ
SPY
BSV
BND
MUB
VSMPX
VFIAX
FXAIX
VTSAX
SPAXX
VMFXX
FDRXX
FGXX
